verifier,subset,coding,n,delta_record_minus_fact,diff_ci_lo,diff_ci_hi,p_raw,p_holm
mDeBERTa-v3-base-mnli-xnli,core97,strict,83,0.034137931034482705,-0.1041716269841271,0.17170268308936448,0.6586706646676662,1.0
mDeBERTa-v3-base-mnli-xnli,core97,lenient,83,0.025000000000000022,-0.10834059233449471,0.15952621673669465,0.7306346826586707,1.0
mDeBERTa-v3-base-mnli-xnli,all282,strict,287,0.015165956492487143,-0.06406014609063279,0.09820517492711366,0.7266366816591704,1.0
mDeBERTa-v3-base-mnli-xnli,all282,lenient,287,-0.002841744243018085,-0.0733665732659038,0.06752651100268836,0.9715142428785607,1.0
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,core97,strict,83,0.018275862068965365,-0.17115220178038162,0.21683357814475696,0.8555722138930535,1.0
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,core97,lenient,83,0.048255813953488436,-0.13810787618281908,0.22650303085085682,0.6146926536731634,1.0
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,all282,strict,287,0.07622224714061465,-0.03045298151607322,0.17820682956918943,0.13893053473263367,0.9725137431284356
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,all282,lenient,287,0.09723174914257715,0.006553573868652546,0.1810619692499218,0.03498250874562719,0.3848075962018991
Bespoke-MiniCheck-7B,core97,strict,83,0.15551724137931033,-0.02794642857142855,0.33545661498607093,0.10294852573713144,0.8235882058970515
Bespoke-MiniCheck-7B,core97,lenient,83,0.19970930232558137,0.030190143689768672,0.36725622195022434,0.026986506746626688,0.32383808095952027
Bespoke-MiniCheck-7B,all282,strict,287,0.17501121327651936,0.08149103725279505,0.2695734950973353,0.0009995002498750624,0.015992003998001
Bespoke-MiniCheck-7B,all282,lenient,287,0.19274865262126406,0.10577394619451565,0.2783990389537275,0.0009995002498750624,0.015992003998001
Gemma-3-27B-it,core97,strict,83,0.19103448275862078,0.0013538855572214363,0.38483631283436626,0.04997501249375312,0.49975012493753124
Gemma-3-27B-it,core97,lenient,83,0.18517441860465123,-0.009695909484878015,0.3735541389504804,0.06596701649175413,0.5937031484257871
Gemma-3-27B-it,all282,strict,287,0.22908723929132085,0.12390780317386844,0.3256842815123672,0.0009995002498750624,0.015992003998001
Gemma-3-27B-it,all282,lenient,287,0.2637922586967172,0.17132752178978738,0.351928606984445,0.0009995002498750624,0.015992003998001
